Date,ret,equity,spy_equity
2023-10-27,-0.0027940937022705907,1.9337766126236489,4.001961963642992
2023-10-30,0.001721406378257741,1.937105428018745,4.0498084431062615
2023-10-31,-0.0007341537492928161,1.9356832948059894,4.075242172756859
2023-11-01,0.012482930222112184,1.9598462943071606,4.118703515927695
2023-11-02,0.017354221307669268,1.9938579006275825,4.19763536073634
2023-11-03,0.006988468317518287,2.007791913395752,4.235932745018058
2023-11-06,-0.0048998453214137,1.9979540435825276,4.2456771543039356
2023-11-07,0.006489370539410913,2.0109195076920487,4.257760769428062
2023-11-08,0.005491140756813671,2.0219617497594085,4.260878797862997
2023-11-09,-0.012068497977058116,1.997559708472748,4.227649540783697
2023-11-10,0.005918243886562283,2.00938175400546,4.293620986591791
2023-11-13,-0.00020996163629515355,2.0089598609244477,4.2895282130006915
2023-11-14,0.018505422041950007,2.0461365110161918,4.372748449732338
2023-11-15,-0.005803367207910092,2.034262029485253,4.38200579066771
2023-11-16,0.008002781518031465,2.0505417840576508,4.387365672116308
2023-11-17,0.0024414420412817855,2.055548062976654,4.392822602161915
2023-11-20,0.0051193492143629515,2.0660711313379387,4.426636888871459
2023-11-21,0.0011646839744782573,2.0684774512747404,4.41698952818259
2023-11-22,0.0020785078772660955,2.072776797951162,4.434042396546664
2023-11-24,-0.0038026224617942164,2.0648948103409874,4.436771013683256
2023-11-27,0.007781376747433985,2.0809625348040717,4.428780780605382
2023-11-28,0.0038760684263770204,2.0890284879816994,4.433165308442661
2023-11-29,0.005389212867820405,2.1002867071903735,4.430047280007726
2023-11-30,-0.004396712489980467,2.0910523503923297,4.447490168125298
2023-12-01,0.01349425018464159,2.1192695339577066,4.4738009858798975
2023-12-04,-0.007475886316085801,2.103426115848695,4.450316442314052
2023-12-05,0.00880393744302603,2.121944547788654,4.44943935421005
2023-12-06,0.0049868641528562924,2.13252639698837,4.431509093514396
2023-12-07,0.0006245528878570604,2.1338582725080406,4.4653230759963645
2023-12-08,-0.004282431560657156,2.124720170495883,4.484520140321939
2023-12-11,-0.0013188388869064013,2.1219180069112387,4.501963028439509
2023-12-12,0.002987443131917131,2.128257116287477,4.522524857674745
2023-12-13,0.019392168097648887,2.1695286360415413,4.584890902469822
2023-12-14,0.013708137990552682,2.199268833958854,4.599605173450801
2023-12-15,-0.0016824845937947319,2.1955685980281054,4.592032340608338
2023-12-18,-0.0006624657679204899,2.1941141089907905,4.617862783019123
2023-12-19,0.005876401995976743,2.2070076055202645,4.645943292588145
2023-12-20,-0.0032600873549068128,2.199812567933325,4.581563261234451
2023-12-21,0.001970289975220477,2.204146836583288,4.625005438067946
2023-12-22,-0.0005259846522961405,2.2029874891758383,4.634300198995268
2023-12-26,0.004165359207932214,2.2121637233988363,4.653868420964576
2023-12-27,0.009316640031837273,2.232773656501232,4.662282747284551
2023-12-28,-0.004096449891016567,2.2236272110993927,4.664044224954398
2023-12-29,-0.005433719712100982,2.2115446440900777,4.650541996639512
2024-01-02,-0.0051415408504305714,2.2001738969599374,4.6245159358968255
2024-01-03,-0.002695577947037611,2.1942431567236445,4.5867491245091
2024-01-04,-0.0079255584713204,2.1768525542847366,4.571974616467909
2024-01-05,-0.0037494772540930623,2.1686904951469317,4.578236532681809
2024-01-08,0.008528393480663232,2.187185941027319,4.643595264150167
2024-01-09,-0.003393436699453872,2.1797638639865076,4.63655087460866
2024-01-10,-0.00030530122155693383,2.1790983794161267,4.662772249455671
2024-01-11,0.002667765188534317,2.1849117022151248,4.660717800629335
2024-01-12,0.001021870196293763,2.187144398365152,4.663946263674659
2024-01-16,-0.010968522060433137,2.163154656782331,4.646823727195492
2024-01-17,-0.004711262256452181,2.152963467892964,4.62099389323986
2024-01-18,0.0006004437064816865,2.1542562012575455,4.662086824725072
2024-01-19,0.006694504955610815,2.1686778800725195,4.72020554832002
2024-01-22,0.0028331932511521914,2.1748221636062643,4.730186038205518
2024-01-23,-0.0017879904711388906,2.170933602301315,4.743980933449315
2024-01-24,-0.003599246111270145,2.163119877975406,4.749166796723966
2024-01-25,0.0056664403748765664,2.175377067787664,4.774997543362327
2024-01-26,-0.001463968871378582,2.1721923834769123,4.768931245480329
2024-01-29,0.009339267335739254,2.19247906885086,4.806698056868053
2024-01-30,0.00397369715860975,2.2011913166970642,4.802980091651609
2024-01-31,-0.002676817801954787,2.195299128595021,4.724608634039486
2024-02-01,0.013104415499359832,2.2240672405215127,4.786445627078454
2024-02-02,0.00975375080972118,2.245760238169624,4.836833927946142
2024-02-05,-0.004535923612086537,2.235573641278225,4.819221889295854
2024-02-06,0.0008886177180758103,2.237560211625928,4.833213924009437
2024-02-07,0.007663880226118164,2.254708605086557,4.873524686394617
2024-02-08,0.0004281643612347166,2.255673990956224,4.875677096500692
2024-02-09,0.007116391871361527,2.2717262510099063,4.9038561758046075
2024-02-12,-0.002307262991869185,2.2664847811032933,4.901703461470956
2024-02-13,-0.015446973944417474,2.231474449744172,4.834192015668947
2024-02-14,0.009578261808517586,2.2528480962428397,4.878123390445986
2024-02-15,0.00429916945809467,2.262533471971934,4.911780999953463
2024-02-16,-0.007573525365645365,2.245398117331333,4.887320798548723
2024-02-20,-0.0058806982861845675,2.2321936084709404,4.860413694743536
2024-02-21,-0.003144078940336569,2.225175415555793,4.864816780463003
2024-02-22,0.023369500637931015,2.2771766538491325,4.965496029373792
